base_price,discounted_price,product_name,category,brand,description
"4,75",3.75,Tisane Aide Ménopause Bio - 20 sachets,Santé,Romon Nature,Cette tisane est recommandée pour atténuer les symptômes liés à la ménopause tels que les bouffées de chaleur et l'irritabilité.
"13,50",8.97,"Complexe perseverance, concentration - spray 20 ml",Santé,Biofloral,"Apporte ressources et énergie pour aller au bout des choses, l'envie de poursuivre."
"13,45",9.84,Levure de riz rouge Bio - 120 gélules,Santé,Nat & Form,"La levure de riz rouge de Nat & Form est standardisée à 600mg et 1,6% de monacoline K soit 10mg / gélule."
"8,30",6.17,Eau florale de mélisse - 200 ml,Santé,Eolesens,"Sédative (très apaisante), digestive, antiseptique, antispasmodique."
"13,75",8.03,Cuillères à soupe en bois de peuplier - x100,Tout pour la maison,Ecodis,"Cuillères à soupe en bois de peuplier biodégradable, elles vous accompagneront pour vos pique-niques et apéritifs."
"9,80",7.30,Pâte de massage gingival à la propolis - 75 ml,Santé,Ballot Flurin,"Assainissement des gencives sensibles grâce aux propriétés antibactériennes de la propolis noire qui réduit les signes de l'inflammation gingivale (rougeurs, saignements) et assainit les espaces interdentaires."
"10,30",7.13,Reine des prés - 200 gélules,Santé,Nat & Form,Pour les états fébriles ou les articulations douloureuses.
"8,55",5.68,Fleurs de Bach Temble n°2 - Gouttes - 20 ml,Santé,Biofloral,Changement positif: confiance dans l'inconnu.
"13,50",8.97,Complexe esprit ouvert - spray 20 ml,Santé,Biofloral,"Aide à une meilleure communication, ouverture et tolérance, création, réflexion, donne de la force pour changer sa vie avec sérénité."
"4,75",3.75,Tisane Sommeil Oranger Bio - 32 g,Santé,Romon Nature,Laissez vous aller à un réconfort et un apaisement total sous la senteur de de la fleur d'oranger... Pour des rêves aux odeurs d'ailleurs.
"8,55",5.68,Fleurs de Bach Olivier n°23 - Gouttes - 20 ml,Santé,Biofloral,Changement positif : régénération physique et mentale.
"13,80",9.32,Macérat huileux d'aloe vera - 50 ml,Santé,Laboratoire du Haut Ségala,"Cette huile possède un pouvoir nourrissant et hydratant, complété par un pouvoir astringent."
"20,40",13.86,Huile de massage Relaxante BIO - 120 ml,Santé,Florame,Découvrez une sensation de bien-être absolu.
"8,30",6.17,Eau florale de genévrier - 200 ml,Santé,Eolesens,"Diurétique, anti-rhumatismale, régulatrice et purifiante des peaux grasses."
"29,95",21.43,Eau de parfum ambre précieux - 50 ml,Hygiène et beauté,Florame,Eau de Parfum aux Huiles Essentielles Biologiques
"25,60",14.23,Gommage visage - 50 ml,Hygiène et beauté,Gravier,Le gommage douceur a été spécialement formulé pour respecter tous les types de peau. Enrichie en exfoliant il élimine les cellules mortes pour laisser une peau douce et nette.
"22,20",15.49,Crème colorante cuivre blond aurore 200 - 150 ml,Hygiène et beauté,Logona,"La teinte Aurore est adaptée aux cheveux blonds. A l’inverse des colorations chimiques, les pigments ne pénètrent pas à l’intérieur de la fibre capillaire, mais se déposent comme un film autour du cheveu."
"9,71",7.20,Après-shampoing cheveux normaux - 250 ml,Hygiène et beauté,Coslys,La Crème après-shampoing Coslys démêle vos cheveux sans les alourdir. Sa formule lait fluide est économique.
